Date,TSN,TGT,ACN,AAPL,MRNA,ZBRA,EXPD,META,UNH,SBUX
2022-01-03,85.7804,227.144,401.729,178.878,235.05,583.9,129.231,338.54,475.621,113.97
2022-01-04,87.4809,229.319,398.851,176.613,233.06,587.6,128.509,336.53,464.841,111.585
2022-01-05,87.6566,224.115,391.828,171.912,215.23,558.18,128.125,324.17,463.701,107.873
2022-01-06,88.7504,226.554,372.91,169.042,216.06,555.16,128.401,332.46,444.718,108.561
2022-01-07,88.9173,225.994,365.757,169.212,213.86,530.86,126.583,331.79,434.258,105.075
2022-01-10,88.6826,222.708,367.989,169.232,233.7,535.41,123.283,328.07,440.32,103.573
2022-01-11,88.8977,222.837,370.062,172.068,221.39,538.57,123.45,334.37,444.11,101.63
2022-01-12,88.663,219.818,373.078,172.511,222.89,538.44,123.748,333.26,448.573,101.463
2022-01-13,91.0666,221.155,357.434,169.232,210.17,525.8,122.404,326.48,442.618,100.019
2022-01-14,91.6037,216.808,349.507,170.101,204.73,528.0,120.239,331.9,443.813,97.7909
2022-01-18,91.5644,215.451,344.487,166.875,186.61,516.72,118.955,318.15,436.519,95.4613
2022-01-19,90.5777,219.198,339.993,163.376,174.07,513.11,117.601,319.59,437.973,94.6209
2022-01-20,88.3793,217.123,338.952,161.681,167.52,501.42,115.655,316.56,438.422,93.4978
2022-01-21,87.8618,212.746,331.968,159.611,160.07,494.18,114.796,303.17,436.691,94.074
2022-01-24,88.5648,216.011,335.301,158.831,157.3,490.56,116.86,308.71,437.736,95.8226
2022-01-25,88.2134,210.228,331.303,157.039,152.54,474.0,113.402,300.15,432.588,94.7583
2022-01-26,88.4971,207.327,326.293,156.951,154.96,475.7,111.07,294.63,434.099,93.3613
2022-01-27,87.9503,207.78,329.726,156.488,148.62,473.23,109.43,294.64,437.099,93.1071
2022-01-28,89.2002,213.159,339.11,167.396,159.47,492.57,111.752,301.71,441.315,94.9537
2022-01-31,88.7995,215.864,349.725,171.772,169.33,509.12,113.116,313.26,447.489,96.0376
2022-02-01,88.9655,214.683,349.567,171.605,172.74,509.48,113.086,319.0,443.547,96.4676
2022-02-02,89.2689,213.1,355.549,172.818,169.61,517.01,112.918,323.0,454.309,95.4613
2022-02-03,88.2428,208.802,341.779,169.931,163.95,508.3,109.746,237.76,462.826,93.7128
2022-02-04,86.2595,209.608,343.714,169.642,163.01,503.09,108.432,237.09,457.519,92.7948
2022-02-07,96.8113,206.913,340.211,168.923,160.27,498.34,108.245,224.91,458.022,92.9804
2022-02-08,96.4402,208.537,341.313,172.039,153.31,491.7,108.273,220.18,467.215,92.7163
2022-02-09,96.45,212.156,351.65,173.468,164.03,506.02,110.27,232.0,471.66,94.8751
2022-02-10,95.6292,209.411,338.654,169.38,160.42,466.63,108.531,228.07,460.88,93.5694
2022-02-11,95.7362,207.178,325.589,165.947,161.32,441.74,105.942,219.55,452.751,92.0184
2022-02-14,92.6984,204.249,322.573,166.185,142.47,426.42,105.734,217.7,449.218,91.9397
2022-02-15,91.7991,203.767,325.817,170.041,151.12,434.94,106.159,221.0,452.845,92.7841
2022-02-16,92.2782,204.386,330.083,169.801,151.81,430.97,106.1,216.54,454.564,93.4418
2022-02-17,91.0666,200.639,319.389,166.185,146.36,423.5,104.796,207.71,445.371,91.3507
2022-02-18,90.1476,201.022,317.682,164.628,145.74,420.31,104.954,206.16,442.978,91.6355
2022-02-22,90.3145,193.115,317.613,161.701,144.97,409.76,102.484,202.08,437.963,91.4097
2022-02-23,89.8747,186.77,309.746,157.523,135.73,399.29,100.587,198.45,435.219,88.0128
2022-02-24,88.2526,188.394,312.722,160.145,156.23,415.33,103.778,207.6,431.685,89.348
2022-02-25,91.2228,195.937,318.991,162.224,151.33,418.07,104.094,210.48,450.499,90.8893
2022-02-28,90.9772,196.479,312.573,162.489,153.6,413.34,102.128,211.03,450.614,90.1137
2022-03-01,92.126,215.814,307.961,160.596,149.52,405.58,100.3,203.49,450.965,88.4939
2022-03-02,93.314,221.195,314.855,163.908,147.86,415.27,101.98,208.11,459.617,91.0759
2022-03-03,93.6086,220.151,315.47,163.582,141.52,407.29,100.201,202.97,460.756,89.8585
2022-03-04,91.8118,220.407,310.738,160.567,136.46,394.24,98.3338,200.06,472.18,88.3858
2022-03-07,90.8791,207.563,301.69,156.763,126.46,381.65,98.6006,187.47,461.022,82.9176
2022-03-08,90.6434,205.37,298.327,154.93,129.28,383.92,98.9365,190.29,448.326,82.466
2022-03-09,88.9939,212.44,306.046,160.35,142.49,399.11,99.6188,198.5,459.798,86.0002
2022-03-10,88.3164,211.241,306.145,155.993,139.52,388.79,99.401,195.21,465.355,85.5683
2022-03-11,86.0484,203.559,308.179,152.26,138.2,386.07,98.3734,187.61,458.592,81.2192
2022-03-14,83.9473,205.32,304.33,148.218,150.07,380.09,97.0097,186.63,463.388,77.8419
2022-03-15,84.1437,211.801,312.781,152.614,148.12,387.08,98.3042,192.03,472.877,81.6021
2022-03-16,85.636,212.038,321.373,157.049,169.36,401.65,101.733,203.63,473.207,85.8138
2022-03-17,86.991,216.994,316.016,158.055,168.26,419.35,104.608,207.84,481.528,86.0591
2022-03-18,85.5575,222.325,320.42,161.366,178.93,437.18,105.507,216.49,480.671,87.9637
2022-03-21,85.0076,219.326,320.966,162.746,175.38,429.54,104.875,211.49,482.134,85.2737
2022-03-22,85.204,219.1,323.903,166.125,186.72,433.68,105.221,216.65,479.911,86.285
2022-03-23,84.1731,213.149,317.007,167.496,178.73,419.91,101.15,213.46,477.927,84.6454
2022-03-24,84.7622,213.464,321.739,171.29,179.68,427.37,102.632,219.57,487.642,85.5291
2022-03-25,85.3514,215.008,324.141,171.931,165.92,425.66,101.684,221.82,487.236,85.853
2022-03-28,85.1942,215.903,327.136,172.799,173.08,422.28,103.748,223.59,487.394,86.766
2022-03-29,87.207,219.257,336.977,176.107,180.64,438.1,104.074,229.86,485.05,89.564
2022-03-30,87.099,218.303,334.775,174.936,174.92,429.61,103.876,227.85,494.634,89.3676
2022-03-31,88.0022,208.724,333.555,171.822,172.26,413.7,101.93,222.36,484.33,89.3087
2022-04-01,89.3866,207.071,336.928,171.527,176.59,413.73,98.8279,224.85,486.817,89.8192
2022-04-04,88.2182,210.877,340.718,175.596,172.54,431.24,99.2626,233.89,484.377,86.4813
2022-04-05,88.5521,211.251,339.081,172.267,162.05,423.72,96.249,231.84,491.727,82.5839
2022-04-06,89.2492,212.382,336.551,169.092,154.62,422.9,95.1916,223.3,505.014,81.8377
2022-04-07,89.7795,224.43,338.049,169.398,159.0,418.4,96.5552,222.95,509.953,81.6021
2022-04-08,90.7612,229.495,335.221,167.376,160.84,415.63,96.6738,222.33,518.509,80.0313
2022-04-11,92.1163,225.532,323.704,163.109,160.0,408.7,95.7647,216.46,510.417,79.2066
2022-04-12,91.7431,227.528,323.168,164.983,159.5,402.21,95.5869,214.14,506.875,78.3328
2022-04-13,92.7741,229.968,323.0,167.683,169.66,405.0,96.2094,214.99,510.003,79.4422
2022-04-14,93.7165,233.292,316.929,162.656,165.49,393.68,95.5375,210.18,507.929,78.0482
2022-04-18,93.3533,235.445,311.105,162.439,154.75,394.28,95.5968,210.77,507.227,78.1464
2022-04-19,95.7097,241.996,318.02,164.728,152.72,406.62,97.5137,217.31,510.665,79.7367
2022-04-20,96.6129,245.212,321.095,164.558,150.12,398.42,98.3734,200.42,518.556,78.706
2022-04-21,96.0141,244.081,319.746,163.77,144.5,390.04,98.3436,188.07,510.417,77.5181
2022-04-22,93.1962,237.698,308.327,159.207,140.34,377.98,98.2448,184.11,494.748,76.497
2022-04-25,92.7936,237.678,314.299,160.282,150.41,388.94,99.4995,186.99,497.91,76.5559
2022-04-26,90.8987,232.603,300.689,154.299,145.79,374.5,97.2272,180.95,487.947,74.2488
2022-04-27,91.9199,227.164,300.689,154.071,142.43,371.11,99.3218,174.95,487.977,73.3751
2022-04-28,93.9522,232.496,311.343,161.032,142.52,382.98,101.15,205.73,498.051,75.1815
2022-04-29,91.4682,224.882,297.97,155.138,134.41,369.66,97.8891,200.47,482.979,73.277
2022-05-02,91.2128,225.994,302.176,155.443,142.08,379.57,98.8179,211.13,475.951,73.9936
2022-05-03,88.4636,228.708,302.395,156.941,146.54,368.14,101.426,212.03,474.5,72.9725
2022-05-04,90.555,233.517,312.355,163.376,155.05,367.87,109.489,223.41,482.097,80.1491
2022-05-05,89.2492,226.958,296.323,154.27,142.02,347.75,107.76,208.28,469.845,76.065
2022-05-06,89.1707,221.5,293.387,155.0,134.4,342.59,106.762,203.77,474.5,75.1226
2022-05-09,91.154,220.506,285.203,149.855,135.8,328.54,108.451,196.21,461.964,72.148
2022-05-10,90.4176,215.5,285.302,152.27,132.32,325.84,107.731,197.65,463.473,70.5477
2022-05-11,88.5618,209.973,278.705,144.378,123.43,314.5,106.703,188.74,461.706,68.7806
2022-05-12,87.9139,213.69,278.972,140.493,130.17,316.72,109.815,191.24,454.726,69.1068
2022-05-13,88.3655,216.109,284.489,144.978,137.91,336.86,110.26,198.62,460.994,74.7421
2022-05-16,89.1412,215.637,283.894,143.43,136.26,329.33,109.924,200.04,464.624,71.5982
2022-05-17,90.1034,212.605,288.754,147.075,142.28,344.58,113.462,202.62,467.765,72.8834
2022-05-18,83.211,159.602,271.979,138.777,137.71,326.42,103.314,192.24,447.678,70.4712
2022-05-19,82.5924,151.524,271.433,135.358,143.38,324.1,102.454,191.29,454.488,71.1138
2022-05-20,83.7313,153.43,274.449,135.595,136.25,325.37,104.184,193.54,461.307,72.5572
2022-05-23,85.7539,151.988,281.136,141.033,137.62,334.73,104.361,196.23,467.339,72.5868
2022-05-24,87.1383,148.087,277.088,138.327,132.06,322.88,104.035,181.28,472.544,71.8948
2022-05-25,87.4426,154.477,277.415,138.482,130.85,322.72,104.865,183.83,473.047,71.6576
2022-05-26,88.13,161.172,289.231,141.694,135.8,332.47,107.414,191.63,476.979,73.6448
2022-05-27,89.3866,165.064,301.73,147.471,147.66,343.53,109.331,195.13,481.611,75.8395
2022-05-31,88.4295,159.869,296.085,146.682,145.33,338.19,108.198,193.64,471.804,77.6093
2022-06-01,86.9788,154.575,296.273,146.556,143.4,334.55,107.204,188.64,467.785,75.4144
2022-06-02,86.8505,158.911,304.18,149.016,140.18,347.07,108.327,198.86,467.509,78.5188
2022-06-03,86.2584,159.039,302.524,143.271,137.15,334.77,109.291,190.78,461.194,78.153
2022-06-06,86.3275,157.686,302.306,144.02,140.0,335.43,108.973,194.25,465.534,78.0837
2022-06-07,87.2156,154.042,304.092,146.556,145.34,335.51,108.665,195.65,472.109,78.5683
2022-06-08,86.1597,154.753,300.232,145.816,148.53,330.74,102.492,196.64,468.715,77.5795
2022-06-09,84.1861,152.63,293.08,140.572,134.04,315.66,100.603,184.0,464.823,78.0145
2022-06-10,83.0315,147.811,283.734,135.141,127.12,305.35,97.8791,175.57,460.265,74.8113
2022-06-13,82.2124,143.011,274.3,129.968,117.13,293.08,95.9108,164.26,446.084,71.539
2022-06-14,82.8144,140.927,272.931,130.834,121.56,300.74,98.0183,163.73,438.533,71.4894
2022-06-15,83.0019,145.609,278.953,133.465,128.53,308.36,97.3721,169.35,440.985,73.3482
2022-06-16,81.4625,141.115,268.745,128.175,121.08,292.12,95.7318,160.87,434.704,70.1449
2022-06-17,81.9756,137.569,273.189,129.653,128.03,288.46,93.6641,163.74,430.863,71.0544
2022-06-21,82.9032,142.903,280.481,133.901,129.99,295.85,95.2447,157.05,457.797,72.1321
2022-06-22,82.7058,139.061,284.122,133.386,136.07,297.82,94.9962,155.85,466.718,72.4682
2022-06-23,82.8539,144.987,283.556,136.265,143.26,297.41,95.8611,158.75,476.374,74.3467
2022-06-24,84.6696,148.551,296.988,139.606,144.27,308.91,99.8971,170.16,472.399,77.2237
2022-06-27,84.6795,147.751,290.292,139.606,145.36,309.83,99.9369,169.49,481.948,76.7985
2022-06-28,84.492,142.725,281.542,135.447,142.19,302.21,97.2528,160.68,484.598,75.4737
2022-06-29,85.1631,140.137,277.584,137.211,142.81,298.33,97.4715,163.94,491.526,75.5627
2022-06-30,84.9262,139.475,275.441,134.738,142.85,293.95,96.885,161.25,489.544,75.5232
2022-07-01,84.1269,140.611,278.417,136.915,149.95,299.34,97.0043,160.03,493.138,78.3607
2022-07-05,84.6598,143.899,272.981,139.507,155.54,302.33,95.9307,168.19,481.549,78.6177
2022-07-06,84.5512,143.011,273.745,140.847,159.56,294.53,96.9347,169.77,491.127,77.9651
2022-07-07,84.9361,148.097,277.177,144.229,172.4,305.14,97.8194,172.19,490.26,78.3409
2022-07-08,83.0019,146.151,276.85,144.909,176.23,299.52,96.6663,170.88,494.309,78.3803
2022-07-11,80.7322,144.571,272.683,142.77,175.26,291.7,96.7558,162.88,492.708,77.0161
2022-07-12,81.6303,142.765,271.493,143.744,173.25,292.41,95.7716,163.27,490.298,76.8777
2022-07-13,81.9361,143.633,270.965,143.38,171.24,292.49,94.0916,163.49,477.736,77.0359
2022-07-14,80.4657,144.473,267.481,146.316,159.92,290.8,94.36,158.05,478.869,77.3127
2022-07-15,80.8506,144.847,270.318,147.994,166.91,297.72,96.2587,164.7,504.909,78.7165
2022-07-18,80.8013,147.505,267.461,144.938,163.4,295.84,96.0201,167.23,495.014,79.3196
2022-07-19,82.4,151.455,278.8,148.81,167.14,311.91,99.5392,175.78,508.435,81.6133
2022-07-20,81.2651,154.556,280.413,150.822,166.89,325.42,101.637,183.09,495.111,82.3251
2022-07-21,81.1368,156.689,286.735,153.098,168.89,332.15,100.861,183.17,497.96,82.592
2022-07-22,80.9987,155.78,286.735,151.855,163.52,326.68,100.573,169.27,496.959,82.6414
2022-07-25,82.5874,155.533,288.009,150.733,165.69,325.37,98.575,166.65,504.642,80.5752
2022-07-26,83.1006,149.924,283.917,149.403,160.9,326.97,98.2568,159.15,506.661,79.3987
2022-07-27,84.5512,152.679,296.213,154.518,158.02,338.49,99.9766,169.58,509.541,82.0186
2022-07-28,86.0512,157.439,302.336,155.069,158.07,344.5,103.943,160.72,516.097,83.7092
2022-07-29,86.8505,161.35,304.904,160.155,164.09,357.69,105.623,159.1,516.91,83.818
2022-08-01,87.0084,163.493,303.391,159.168,161.51,358.43,105.852,159.93,510.276,83.9465
2022-08-02,86.3571,161.449,301.141,157.69,160.81,323.32,101.647,160.19,510.35,82.7601
2022-08-03,86.4064,165.834,306.806,163.722,186.49,326.41,102.174,168.8,515.297,86.2797
2022-08-04,85.4295,164.491,309.235,163.406,194.18,330.58,102.939,170.57,508.721,85.8942
2022-08-05,86.2979,164.066,307.98,163.179,186.84,331.7,102.919,167.11,509.971,84.7572
2022-08-08,79.0448,164.896,308.956,162.705,182.94,330.32,102.492,170.25,511.438,84.7473
2022-08-09,78.8671,163.069,308.418,162.755,171.14,320.15,102.939,168.53,512.068,83.8772
2022-08-10,78.3145,167.562,315.079,167.018,174.27,328.87,106.806,178.34,512.506,85.5086
2022-08-11,79.6269,167.493,313.028,166.279,171.81,336.0,107.204,177.49,507.874,86.7713
2022-08-12,80.7124,170.338,319.021,169.84,171.18,346.74,106.528,180.5,518.204,87.8054
2022-08-15,80.9691,171.236,318.912,170.916,176.78,349.41,107.83,180.89,519.099,88.6505
2022-08-16,81.0085,179.067,319.36,170.759,167.96,344.91,107.403,179.47,520.511,88.8891
2022-08-17,80.0217,174.247,317.04,172.259,158.0,340.45,105.911,174.85,519.445,87.8451
2022-08-18,80.7026,171.971,318.046,171.864,150.0,342.38,107.313,174.66,519.654,88.044
2022-08-19,80.673,165.999,313.894,169.27,146.1,328.41,106.558,167.96,522.609,86.4233
2022-08-22,79.3902,160.95,308.628,165.369,142.47,315.88,106.448,163.05,519.033,84.4646
2022-08-23,78.7783,160.96,305.342,165.034,143.78,316.99,105.663,161.11,510.675,84.2061
2022-08-24,78.4823,162.113,304.904,165.33,141.43,319.34,105.772,163.26,511.304,85.5583
2022-08-25,78.9855,166.456,308.399,167.798,142.05,330.14,107.204,168.78,516.175,86.8906
2022-08-26,77.2783,159.619,296.81,161.471,136.7,308.16,104.291,161.78,504.432,83.5797
2022-08-29,76.6369,157.701,293.833,159.261,137.26,307.9,103.038,159.17,504.928,83.6393
2022-08-30,75.729,159.778,291.205,156.824,135.93,302.86,102.362,157.16,498.323,82.9334
2022-08-31,74.8355,159.341,287.183,155.156,132.27,301.64,102.283,162.93,494.978,83.5896
2022-09-01,74.2795,163.812,287.511,155.886,138.95,309.74,103.198,165.36,499.43,84.912
2022-09-02,74.081,163.574,282.812,153.765,138.57,297.6,101.08,160.32,492.137,82.4661
2022-09-06,72.5323,162.56,282.205,152.5,130.08,289.93,99.9965,158.54,493.404,84.037
2022-09-07,73.3463,169.725,285.49,153.913,134.9,295.58,101.368,160.39,497.217,87.8054
2022-09-08,73.4059,170.828,286.685,152.432,141.28,298.3,100.822,162.06,502.774,88.9488
2022-09-09,75.0241,172.568,289.264,155.303,142.28,307.84,102.83,169.15,501.32,88.1832
2022-09-12,75.0142,172.766,293.953,161.284,140.32,311.85,103.963,168.96,507.927,88.561
2022-09-13,72.701,165.204,280.274,151.819,131.3,293.5,99.2012,153.13,491.398,87.3381
2022-09-14,71.7678,164.349,277.297,153.27,139.4,295.97,99.8275,151.47,487.388,92.1703
2022-09-15,71.5792,163.981,272.648,150.369,135.86,296.2,96.4178,149.55,499.953,91.693
2022-09-16,71.4898,163.067,271.473,148.721,137.74,288.52,92.2624,146.29,498.148,90.7882
2022-09-19,71.9167,163.733,273.763,152.452,127.9,291.21,92.6203,148.02,500.566,91.6135
2022-09-20,71.3111,159.032,269.044,154.838,129.705,285.65,89.469,146.09,499.847,90.2712
2022-09-21,70.8048,158.039,264.245,151.702,125.76,285.08,88.4948,142.12,489.597,88.0937
2022-09-22,70.4971,152.007,261.159,150.735,124.32,272.94,87.6697,142.82,494.744,84.216
2022-09-23,69.4348,151.659,258.829,148.455,123.64,268.04,87.1428,140.41,491.061,83.689
2022-09-26,68.4519,147.783,256.4,148.79,119.69,265.86,86.268,136.37,486.042,84.3254
2022-09-27,68.0648,147.545,255.205,149.767,122.23,264.95,88.5147,134.4,486.052,83.7984
2022-09-28,68.0945,154.898,260.77,147.872,122.15,271.35,89.5187,141.61,491.378,86.6122
2022-09-29,66.3671,150.844,257.127,140.61,118.07,265.52,89.9362,136.41,486.492,86.0753
2022-09-30,65.4538,147.465,256.161,136.385,118.25,262.01,87.789,135.68,482.868,83.7785
2022-10-03,66.238,150.844,263.717,140.58,120.99,272.09,90.3736,138.61,492.879,85.1307
2022-10-04,66.9727,155.982,273.096,144.182,125.67,281.65,90.98,140.28,500.201,88.0042
2022-10-05,66.1586,155.435,273.125,144.477,125.62,281.88,90.2345,138.98,503.93,89.605
2022-10-06,65.0467,154.779,268.277,143.522,125.15,280.35,90.1152,139.07,496.341,88.8394
2022-10-07,63.4285,151.39,258.56,138.252,119.32,266.68,88.6737,133.45,482.687,86.5327
2022-10-10,63.637,152.146,256.708,138.575,123.42,258.6,89.2404,133.79,476.959,86.5625
2022-10-11,63.4881,153.537,251.86,137.154,120.72,250.01,88.5246,128.54,477.867,85.7174
2022-10-12,63.3193,153.199,250.07,136.524,130.72,261.03,88.3457,127.5,478.013,86.3736
2022-10-13,64.9772,153.159,257.46,141.112,134.72,268.27,89.6678,130.29,487.526,88.8593
2022-10-14,64.3716,144.782,252.72,136.563,134.0,255.61,89.4392,126.76,490.601,85.8765
2022-10-17,65.3346,148.32,262.22,140.54,139.25,261.64,91.4572,134.04,498.968,88.392
2022-10-18,65.2254,156.25,264.05,141.862,134.09,263.89,92.2127,132.8,499.283,88.4517
2022-10-19,64.5503,154.421,264.06,141.972,123.52,260.46,90.473,133.23,497.478,87.0199
2022-10-20,64.1334,153.438,261.78,141.508,118.38,256.23,89.2205,131.53,498.013,86.2941
2022-10-21,64.6496,158.198,269.57,145.335,128.32,263.04,92.4016,130.01,510.298,88.1037
2022-10-24,64.6496,160.811,275.31,147.488,133.02,265.72,93.0676,129.72,517.822,83.2814
2022-10-25,66.5458,164.767,280.61,150.339,136.57,274.58,95.4634,137.51,516.503,84.7231
2022-10-26,67.3301,165.73,279.87,147.39,142.0,273.18,96.0499,129.82,519.322,85.3992
2022-10-27,66.9032,165.86,278.84,142.901,144.11,275.29,95.8312,97.94,518.015,84.7927
2022-10-28,68.1442,166.476,287.78,153.696,150.97,288.0,97.3025,99.2,527.041,86.6023
2022-10-31,67.8563,163.226,283.9,151.326,150.33,283.22,97.2727,93.16,530.778,86.0952
2022-11-01,67.5088,163.564,281.47,148.674,154.62,238.3,98.2568,95.2,523.281,86.6023
2022-11-02,66.9528,159.201,272.45,143.125,148.62,236.03,92.7595,90.54,519.571,84.0967
2022-11-03,66.0792,158.804,256.88,137.056,147.5,227.32,94.3302,88.91,519.744,84.1961
2022-11-04,66.8139,158.635,261.16,136.79,158.41,230.56,94.3003,90.79,514.543,91.3351
2022-11-07,66.7741,158.873,269.07,137.323,164.04,236.36,95.1652,96.72,521.094,89.9331
2022-11-08,67.2408,160.613,269.03,137.895,164.61,234.65,103.784,96.47,528.768,92.22
2022-11-09,63.6469,152.036,266.44,133.319,163.21,226.88,104.162,101.47,516.924,91.63
2022-11-10,65.9799,163.355,287.02,145.182,168.56,253.42,108.049,111.87,520.281,96.26
2022-11-11,66.9231,172.24,290.09,147.98,171.2,263.38,111.25,113.02,499.162,97.38
2022-11-14,64.3617,172.18,288.91,146.577,179.03,251.47,111.13,114.22,491.197,97.42
2022-11-15,63.8752,178.98,292.65,148.315,185.47,261.59,114.978,117.08,480.926,97.83
2022-11-16,64.0639,155.47,291.51,147.079,185.25,258.43,111.16,113.23,489.063,97.07
2022-11-17,64.9177,162.01,287.14,148.987,183.9,255.11,110.932,111.45,492.686,96.97
2022-11-18,65.0467,162.88,286.5,149.551,181.59,256.1,112.105,112.05,506.733,97.95
2022-11-21,66.2678,158.02,287.02,146.308,176.75,257.0,112.88,109.86,494.486,98.32
2022-11-22,66.8337,157.86,292.89,148.454,179.59,261.05,113.447,111.44,500.124,98.43
2022-11-23,66.655,163.41,294.53,149.336,176.81,270.66,113.317,112.24,506.455,99.52
2022-11-25,66.8436,163.38,296.4,146.408,176.4,271.9,112.105,111.41,514.018,99.56
2022-11-28,65.0566,165.37,290.6,142.562,175.38,269.0,110.971,108.78,508.902,98.66
2022-11-29,65.97,166.37,287.98,139.547,173.15,266.82,112.89,109.46,504.82,98.66
2022-11-30,66.28,167.07,300.93,146.328,175.91,270.28,116.06,118.1,523.713,102.2
2022-12-01,65.48,165.03,302.83,146.606,181.48,268.82,115.25,120.44,513.339,103.37
2022-12-02,66.02,164.16,300.13,146.111,182.35,274.86,115.52,123.49,514.202,105.05
2022-12-05,64.77,154.93,292.74,144.945,175.93,261.8,111.82,122.43,513.126,103.55
2022-12-06,64.15,155.05,285.41,141.268,173.54,254.21,110.19,114.12,517.233,102.08
2022-12-07,63.74,153.76,286.69,139.319,179.0,252.54,107.6,113.93,520.674,101.87
2022-12-08,63.86,154.21,292.15,141.01,184.7,252.82,107.85,115.33,525.48,103.74
2022-12-09,63.75,152.28,288.41,140.526,177.35,251.45,107.91,115.9,517.116,101.79
